datetime,open,high,low,close,rsi,average,sma10,sma20,sma50,ema10,ema20,ema50
2024-07-24 08:15:00,1.0851,1.08524,1.08498,1.08508,58.79095,1.08511,,,,,,
2024-07-24 08:20:00,1.08508,1.08512,1.08467,1.0848,46.50677,1.08489,,,,,,
2024-07-24 08:25:00,1.08479,1.08484,1.08453,1.08463,41.00374,1.08468,,,,,,
2024-07-24 08:30:00,1.08462,1.08468,1.08437,1.08447,36.51752,1.08453,,,,,,
2024-07-24 08:35:00,1.08446,1.08451,1.08423,1.08444,35.68189,1.08437,,,,,,
2024-07-24 08:40:00,1.08445,1.08457,1.08433,1.08438,34.10598,1.08445,,,,,,
2024-07-24 08:45:00,1.08438,1.08469,1.08434,1.08463,44.89544,1.08452,,,,,,
2024-07-24 08:50:00,1.08462,1.08466,1.0843,1.08449,40.89564,1.08448,,,,,,
2024-07-24 08:55:00,1.08448,1.08459,1.08422,1.08434,37.00798,1.0844,,,,,,
2024-07-24 09:00:00,1.08432,1.08458,1.08422,1.08448,42.50194,1.0844,1.08458,,,1.08456,,
2024-07-24 09:05:00,1.08448,1.08463,1.08427,1.08433,38.61585,1.08445,1.08452,,,1.08451,,
2024-07-24 09:10:00,1.08432,1.08464,1.08429,1.08452,45.42294,1.08447,1.08447,,,1.08448,,
2024-07-24 09:15:00,1.08454,1.08543,1.08427,1.08496,57.24676,1.08485,1.08449,,,1.08452,,
2024-07-24 09:20:00,1.08494,1.08524,1.08483,1.08494,56.58665,1.08503,1.08454,,,1.08459,,
2024-07-24 09:25:00,1.08493,1.08503,1.08461,1.08474,50.94992,1.08482,1.08459,,,1.08461,,
2024-07-24 09:30:00,1.08466,1.08478,1.08335,1.08356,30.95682,1.08407,1.08455,,,1.0845,,
2024-07-24 09:35:00,1.0835,1.08368,1.08322,1.08345,29.7323,1.08345,1.08444,,,1.08435,,
2024-07-24 09:40:00,1.08342,1.08346,1.08309,1.0832,27.26776,1.08327,1.08432,,,1.08423,,
2024-07-24 09:45:00,1.08321,1.08339,1.08307,1.08314,26.68207,1.08323,1.0842,,,1.08411,,
2024-07-24 09:50:00,1.08314,1.08321,1.08283,1.0829,24.41373,1.08302,1.08407,1.08432,,1.08397,1.08426,
2024-07-24 09:55:00,1.08285,1.08302,1.08254,1.08294,25.40554,1.08278,1.0839,1.08421,,1.08379,1.08414,
2024-07-24 10:00:00,1.08293,1.0833,1.08256,1.08269,23.10174,1.08293,1.08374,1.08411,,1.08367,1.08405,
2024-07-24 10:05:00,1.08271,1.08306,1.0826,1.08301,31.6662,1.08283,1.08354,1.08402,,1.08348,1.08396,
2024-07-24 10:10:00,1.08301,1.0835,1.08295,1.08332,38.94321,1.08323,1.08336,1.08395,,1.08335,1.08392,
2024-07-24 10:15:00,1.08331,1.08335,1.08295,1.08305,35.4577,1.08315,1.0832,1.08389,,1.08319,1.08386,
2024-07-24 10:20:00,1.08304,1.08325,1.08276,1.08289,33.51921,1.083,1.08309,1.08382,,1.08308,1.08378,
2024-07-24 10:25:00,1.08291,1.08321,1.08285,1.08312,38.64762,1.08303,1.08305,1.08374,,1.08305,1.08371,
2024-07-24 10:30:00,1.08313,1.08339,1.08303,1.08336,43.54181,1.08321,1.08304,1.08368,,1.08305,1.08366,
2024-07-24 10:35:00,1.08334,1.08355,1.08319,1.08339,44.18118,1.08337,1.08305,1.08363,,1.08308,1.08361,
2024-07-24 10:40:00,1.08339,1.08375,1.08334,1.08364,49.03694,1.08354,1.08311,1.08359,,1.08315,1.08359,
2024-07-24 10:45:00,1.08369,1.08376,1.08327,1.08357,47.74865,1.08352,1.08318,1.08354,,1.08321,1.08354,
2024-07-24 10:50:00,1.0836,1.08379,1.08344,1.08354,47.19232,1.08361,1.08325,1.0835,,1.08328,1.0835,
2024-07-24 10:55:00,1.08354,1.0836,1.08336,1.08352,46.80082,1.08348,1.08331,1.08343,,1.08333,1.08343,
2024-07-24 11:00:00,1.08352,1.08372,1.08335,1.08369,50.5555,1.08353,1.08334,1.08335,,1.08336,1.08336,
2024-07-24 11:05:00,1.08367,1.08374,1.08351,1.08369,50.5555,1.08363,1.08339,1.08329,,1.08342,1.08331,
2024-07-24 11:10:00,1.08368,1.08374,1.0834,1.08353,46.93936,1.08357,1.08345,1.08327,,1.08346,1.08328,
2024-07-24 11:15:00,1.08351,1.08363,1.08326,1.0834,44.1746,1.08344,1.08349,1.08327,,1.08349,1.08328,
